"Number";"Name";"Deployment State";"Incident State";"SectionGeneral::1::ParentService";"SectionGeneral::1::Type";"SectionGeneral::1::Criticality";"SectionGeneral::1::Specification";"SectionGeneral::1::ServiceOwner::1";"SectionGeneral::1::ServiceOwner::2";"SectionGeneral::1::ServiceOwner::3";"SectionGeneral::1::ServiceOwner::4";"SectionGeneral::1::ServiceOwner::5";"SectionDependencies::1::RequiredService";"SectionDependencies::1::RequiredAsset";"SectionServiceCatalog::1::AssignedSLA"
;"User Account Management";"Production";"Operational";;"Other";"3-support process";"The Service Specification Sheet builds on the Service Level Requirements by comparing the requirements from the customer's point of view and how these requirements are met from a technical point of view. It is assumed that an IT service for customers (external service) is composed of internal IT services (internal services) or services purchased from the IT organization (third-party services)";"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;"office.example.com";"Platinum"
;"Cloud Applications";"Production";"Operational";;"Other";"2-business critical";"The Service Specification Sheet builds on the Service Level Requirements by comparing the requirements from the customer's point of view and how these requirements are met from a technical point of view. It is assumed that an IT service for customers (external service) is composed of internal IT services (internal services) or services purchased from the IT organization (third-party services)";"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"User Account Management";"office.example.com";"Platinum"
;"KIX.Cloud";"Production";"Operational";"Cloud Applications";"IT Operational";"2-business critical";"The Service Specification Sheet builds on the Service Level Requirements by comparing the requirements from the customer's point of view and how these requirements are met from a technical point of view. It is assumed that an IT service for customers (external service) is composed of internal IT services (internal services) or services purchased from the IT organization (third-party services)";"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"User Account Management";"office.example.com";"Platinum"
;"KIX Pro";"Production";"Operational";;"IT Operational";"2-business critical";"The Service Specification Sheet builds on the Service Level Requirements by comparing the requirements from the customer's point of view and how these requirements are met from a technical point of view. It is assumed that an IT service for customers (external service) is composed of internal IT services (internal services) or services purchased from the IT organization (third-party services)";"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"User Account Management";"office.example.com";"Platinum"
;"ITIL Practices";"Production";"Operational";"KIX Pro";"IT Operational";"2-business critical";"The Service Specification Sheet builds on the Service Level Requirements by comparing the requirements from the customer's point of view and how these requirements are met from a technical point of view. It is assumed that an IT service for customers (external service) is composed of internal IT services (internal services) or services purchased from the IT organization (third-party services)";"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"User Account Management";"office.example.com";"Platinum"
;"Maintenance Plan";"Production";"Operational";"KIX Pro";"IT Operational";"2-business critical";"The Service Specification Sheet builds on the Service Level Requirements by comparing the requirements from the customer's point of view and how these requirements are met from a technical point of view. It is assumed that an IT service for customers (external service) is composed of internal IT services (internal services) or services purchased from the IT organization (third-party services)";"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"User Account Management";"office.example.com";"Platinum"
;"Maintenance Plan";"Production";"Operational";"KIX Pro";"IT Operational";"2-business critical";"The Service Specification Sheet builds on the Service Level Requirements by comparing the requirements from the customer's point of view and how these requirements are met from a technical point of view. It is assumed that an IT service for customers (external service) is composed of internal IT services (internal services) or services purchased from the IT organization (third-party services)";"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"User Account Management";"office.example.com";"Platinum"
;"Connect Webservice";"Production";"Operational";"KIX Pro";"IT Operational";"2-business critical";"The Service Specification Sheet builds on the Service Level Requirements by comparing the requirements from the customer's point of view and how these requirements are met from a technical point of view. It is assumed that an IT service for customers (external service) is composed of internal IT services (internal services) or services purchased from the IT organization (third-party services)";"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"User Account Management";"office.example.com";"Platinum"
;"Connect Database";"Production";"Operational";"KIX Pro";"IT Operational";"2-business critical";"The Service Specification Sheet builds on the Service Level Requirements by comparing the requirements from the customer's point of view and how these requirements are met from a technical point of view. It is assumed that an IT service for customers (external service) is composed of internal IT services (internal services) or services purchased from the IT organization (third-party services)";"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"User Account Management";"office.example.com";"Platinum"
;"Time and Material";"Production";"Operational";"KIX Pro";"IT Operational";"2-business critical";"The Service Specification Sheet builds on the Service Level Requirements by comparing the requirements from the customer's point of view and how these requirements are met from a technical point of view. It is assumed that an IT service for customers (external service) is composed of internal IT services (internal services) or services purchased from the IT organization (third-party services)";"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"User Account Management";"office.example.com";"Platinum"
